Event Name,Initial Time,Current Time,Impacts on Humans,Initial Description of the Event,Current Description of the Event
Solar Flare X-9,11/12/2023 0:00,1/28/2024 0:00,Nebula And Human,Nebula,Big Bang in astrophysics
Asteroid Impact 2347,12/22/2022 0:00,1/31/2023 0:00,Mass extinction event,"An asteroid impact causing mass extinction, similar to the one that ended the dinosaurs.",The aftermath has left the planet in a state of recovery with limited biodiversity.
Gamma Ray Burst 912,4/8/2023 0:00,5/15/2023 0:00,Global communication blackout,"A gamma-ray burst from a distant star, causing a blackout of all communication systems.",Communication systems are slowly coming back online after extensive repairs.
Alien Microbe Outbreak,9/14/2022 0:00,10/13/2022 0:00,Pandemic-level infection,"A microorganism brought to Earth from space, causing a deadly outbreak.","The outbreak has been contained, but the long-term effects are still unknown."
Magnetic Storm Zeta,7/30/2022 0:00,9/22/2022 0:00,Satellite malfunction,A magnetic storm that severely disrupts satellite operations and ground communications.,"Satellite operations are partially restored, but the magnetic field remains unstable."
Black Hole Near Miss,5/20/2023 0:00,6/30/2023 0:00,Gravity distortions,A near miss with a black hole causing temporary gravitational disruptions on Earth.,"Gravitational anomalies are fading, but further monitoring is required."
Cosmic Radiation Surge,5/2/2021 0:00,6/29/2021 0:00,Increased cancer rates,A surge in cosmic radiation leading to increased cancer cases globally.,"Radiation levels are slowly decreasing, but health impacts continue to be felt."
Supernova Shockwave,6/22/2022 0:00,8/26/2022 0:00,Destruction of atmosphere,A supernova's shockwave stripping away Earth's protective atmosphere.,"Earth's atmosphere is slowly regenerating, but the ozone layer remains depleted."
Rogue Planet Encounter,2/10/2023 0:00,4/26/2023 0:00,Severe climate changes,"A rogue planet passing close to Earth, causing severe climate changes.","The climate is stabilizing, but the planet remains in a state of flux."
Comet Fragment Collision,12/3/2021 0:00,12/18/2021 0:00,Localized tsunami and earthquakes,"A comet fragment collides with the Earth, triggering tsunamis and earthquakes.",Tsunami and earthquake recovery efforts are ongoing with significant infrastructure damage.
